disease,drug,label
hypertension,insulin detemir,0
diabetes,losartan + chlorthalidone,0
hypertension,cilnidipine + chlorthalidone,1
hypertension,lercanidipine,1
hypertension,alogliptin,0
hypertension,olmesartan medoxomil + metoprolol succinate,1
hypertension,glibenclamide,0
diabetes,teneligliptin,1
hypertension,linagliptin,0
hypertension,lisinopril,1
hypertension,brinzolamide,1
hypertension,voglibose,0
diabetes,nebivolol + amlodipine,0
diabetes,liraglutide,1
hypertension,metformin + linagliptin,0
hypertension,verapamil,1
diabetes,chlorthalidone + metoprolol succinate + cilnidipine,0
diabetes,losartan + amlodipine,0
hypertension,glipizide + metformin,0
hypertension,insulin lispro,0
hypertension,metoprolol succinate + hydrochlorothiazide,1
hypertension,travoprost,1
diabetes,telmisartan + chlorthalidone,0
hypertension,sitagliptin + metformin,0
diabetes,cilnidipine + metoprolol succinate,0
diabetes,remogliflozin etabonate,1
hypertension,insulin glargine,0
hypertension,amlodipine + lisinopril,1
hypertension,repaglinide + voglibose,0
diabetes,efonidipine,0
diabetes,amlodipine + atorvastatin,0
hypertension,nebivolol + s-amlodipine,1
hypertension,saxagliptin + metformin,0
hypertension,sildenafil,1
hypertension,atenolol + losartan,1
hypertension,insulin isophane,0
hypertension,nebivolol + telmisartan,1
diabetes,lisinopril + hydrochlorothiazide,0
hypertension,enalapril + hydrochlorothiazide,1
diabetes,metformin + methylcobalamin,1
hypertension,dulaglutide,0
hypertension,evogliptin,0
diabetes,brinzolamide,0
hypertension,telmisartan + chlorthalidone,1
diabetes,olmesartan medoxomil + metoprolol succinate,0
hypertension,latanoprost,1
hypertension,diltiazem,1
hypertension,clonidine + hydrochlorothiazide,1
hypertension,cilnidipine + metoprolol succinate,1
hypertension,magnesium sulphate,1
hypertension,insulin lispro,0
hypertension,insulin detemir,0
hypertension,empagliflozin + linagliptin,0
hypertension,insulin degludec,0
diabetes,glimepiride + metformin + vitamin d,1
diabetes,losartan,0
hypertension,amlodipine + metoprolol succinate,1
hypertension,betaxolol,1
hypertension,teneligliptin,0
hypertension,metoprolol succinate,1
hypertension,empagliflozin,0
hypertension,empagliflozin,0
hypertension,enalapril,1
hypertension,vildagliptin,0
hypertension,cilnidipine + metoprolol succinate + telmisartan,1
hypertension,metformin,0
hypertension,metformin + linagliptin,0
hypertension,indapamide,1
hypertension,empagliflozin + metformin,0
hypertension,olmesartan medoxomil + cilnidipine + chlorthalidone,1
hypertension,clonidine,1
hypertension,pioglitazone + metformin,0
diabetes,nebivolol,0
hypertension,doxazosin,1
hypertension,canagliflozin + metformin,0
hypertension,glimepiride + metformin + pioglitazone,0
hypertension,glipizide + metformin,0
diabetes,macitentan,0
hypertension,insulin isophane/nph + human insulin/soluble insulin,0
diabetes,sitagliptin,1
diabetes,propranolol,0
hypertension,voglibose + metformin + gliclazide,0
hypertension,gliclazide,0
hypertension,glipizide,0
diabetes,telmisartan + metoprolol succinate,0
hypertension,insulin aspart,0
hypertension,timolol,1
hypertension,dapagliflozin,0
hypertension,glipizide + metformin,0
hypertension,empagliflozin + metformin,0
hypertension,losartan,1
hypertension,metolazone,1
hypertension,alogliptin,0
diabetes,sitagliptin + metformin,1
hypertension,acarbose + metformin,0
hypertension,hydroxychloroquine,0
hypertension,insulin isophane/nph + human insulin/soluble insulin,0
hypertension,sitagliptin,0
hypertension,macitentan,1
diabetes,telmisartan + hydrochlorothiazide,0
diabetes,gliclazide + metformin,1
hypertension,dulaglutide,0
hypertension,insulin degludec,0
hypertension,insulin isophane,0
diabetes,atorvastatin + ramipril + metoprolol succinate,0
hypertension,lisinopril + hydrochlorothiazide,1
hypertension,glipizide + metformin,0
hypertension,ambrisentan + tadalafil,1
hypertension,linagliptin,0
hypertension,telmisartan,1
hypertension,metoprolol succinate + chlorthalidone,1
diabetes,timolol,0
diabetes,nebivolol + s-amlodipine,0
hypertension,metformin + linagliptin,0
hypertension,nebivolol + indapamide,1
diabetes,metformin + alpha lipoic acid,1
diabetes,metoprolol tartrate,0
diabetes,glipizide,1
diabetes,vildagliptin,1
diabetes,timolol + latanoprost,0
hypertension,insulin lispro + insulin lispro protamine,0
hypertension,telmisartan + amlodipine,1
hypertension,teneligliptin,0
diabetes,moxonidine,0
diabetes,amlodipine + enalapril,0
hypertension,dorzolamide + timolol,1
hypertension,torasemide,1
hypertension,canagliflozin,0
diabetes,minoxidil,0
hypertension,telmisartan + rosuvastatin,1
hypertension,glipizide,0
diabetes,ambrisentan + tadalafil,0
hypertension,tadalafil,1
hypertension,insulin isophane/nph + human insulin/soluble insulin,0
diabetes,glibenclamide + metformin + pioglitazone,1
diabetes,voglibose,1
hypertension,metformin + voglibose,0
diabetes,atenolol + hydrochlorothiazide,0
hypertension,atenolol + indapamide,1
hypertension,sitagliptin + metformin,0
hypertension,timolol + pilocarpine,1
hypertension,glipizide,0
hypertension,glimepiride + metformin + voglibose,0
hypertension,canagliflozin,0
diabetes,enalapril + hydrochlorothiazide,0
hypertension,acarbose,0
diabetes,olmesartan medoxomil + amlodipine,0
hypertension,ripasudil,1
hypertension,bisoprolol + hydrochlorothiazide,1
diabetes,bisoprolol + hydrochlorothiazide,0
hypertension,insulin degludec,0
hypertension,terazosin,1
hypertension,eplerenone,1
