drug,disease
miglitol,diabetes
nebivolol,hypertension
insulin aspart + insulin aspart protamine,diabetes
nebivolol + s-amlodipine,hypertension
nebivolol + telmisartan,hypertension
glibenclamide + metformin + pioglitazone,diabetes
nebivolol + amlodipine,hypertension
olmesartan medoxomil + cilnidipine,hypertension
nebivolol + hydrochlorothiazide,hypertension
olmesartan medoxomil + cilnidipine + chlorthalidone,hypertension
nebivolol + cilnidipine,hypertension
cilnidipine + chlorthalidone,hypertension
nebivolol + indapamide,hypertension
nebivolol + valsartan,hypertension
chlorthalidone,hypertension
linagliptin,diabetes
metformin + linagliptin,diabetes
dapagliflozin + metformin,diabetes
olmesartan medoxomil,hypertension
olmesartan medoxomil + metoprolol succinate,hypertension
olmesartan medoxomil + amlodipine,hypertension
hydrochlorothiazide + olmesartan medoxomil,hypertension
olmesartan medoxomil + chlorthalidone,hypertension
saxagliptin,diabetes
olmesartan medoxomil + indapamide,hypertension
pioglitazone + glimepiride,diabetes
tadalafil ip,hypertension
saxagliptin + dapagliflozin,diabetes
insulin degludec + insulin aspart,diabetes
ripasudil,hypertension
cilnidipine,hypertension
remogliflozin etabonate + metformin,diabetes
remogliflozin etabonate,diabetes
metoprolol succinate + chlorthalidone,hypertension
amlodipine + ramipril,hypertension
telmisartan + rosuvastatin,hypertension
tafluprost,hypertension
insulin degludec,diabetes
perindopril erbumine + indapamide + amlodipine,hypertension
olmesartan medoxomil + amlodipine + chlorthalidone,hypertension
chlorthalidone + metoprolol succinate + cilnidipine,hypertension
losartan + amlodipine + hydrochlorothiazide,hypertension
losartan + amlodipine + chlorthalidone,hypertension
telmisartan + ramipril,hypertension
liraglutide,diabetes
evogliptin,diabetes
valsartan,hypertension
verapamil,hypertension
valsartan + hydrochlorothiazide,hypertension
canagliflozin + metformin,diabetes
liraglutide + insulin degludec,diabetes
